Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DigiBankSG_Login,,,2018-06-01 12:07:42,2018-06-01 12:11:52,4m - 10.282s,PASSED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-06-01 12:07:43,2018-06-01 12:11:52,4m - 9.251s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-06-01 12:07:43,2018-06-01 12:07:43,0.098s,PASSED
startApplication,,,2018-06-01 12:07:43,2018-06-01 12:09:08,1m - 24.184s,PASSED
tap,,,2018-06-01 12:09:08,2018-06-01 12:09:16,8.499s,PASSED
delay,,,2018-06-01 12:09:16,2018-06-01 12:09:21,5.058s,PASSED
tap,,,2018-06-01 12:09:21,2018-06-01 12:09:23,1.603s,PASSED
delay,,,2018-06-01 12:09:23,2018-06-01 12:09:28,5.003s,PASSED
tap,,,2018-06-01 12:09:28,2018-06-01 12:09:29,1.061s,PASSED
tap,,,2018-06-01 12:09:29,2018-06-01 12:11:33,2m - 3.695s,PASSED
tap,,,2018-06-01 12:11:33,2018-06-01 12:11:41,8.178s,PASSED
setText,,,2018-06-01 12:11:41,2018-06-01 12:11:43,1.819s,PASSED
hideKeyboard,,,2018-06-01 12:11:43,2018-06-01 12:11:44,1.027s,PASSED
tap,,,2018-06-01 12:11:44,2018-06-01 12:11:46,1.967s,PASSED
setText,,,2018-06-01 12:11:46,2018-06-01 12:11:47,1.587s,PASSED
hideKeyboard,,,2018-06-01 12:11:47,2018-06-01 12:11:48,0.891s,PASSED
tap,,,2018-06-01 12:11:48,2018-06-01 12:11:49,1.305s,PASSED
verifyElementAttributeValue,,,2018-06-01 12:11:49,2018-06-01 12:11:50,0.202s,PASSED
closeApplication,,,2018-06-01 12:11:50,2018-06-01 12:11:52,2.774s,PASSED
