Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Login,,,2018-05-31 12:04:48,2018-05-31 12:09:30,4m - 42.018s,FAILED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-05-31 12:04:49,2018-05-31 12:07:00,2m - 11.048s,PASSED
startApplication,,,2018-05-31 12:04:49,2018-05-31 12:06:04,1m - 14.653s,PASSED
tap,,,2018-05-31 12:06:04,2018-05-31 12:06:07,2.793s,PASSED
delay,,,2018-05-31 12:06:07,2018-05-31 12:06:12,5.227s,PASSED
tap,,,2018-05-31 12:06:12,2018-05-31 12:06:14,1.848s,PASSED
delay,,,2018-05-31 12:06:14,2018-05-31 12:06:19,5.010s,PASSED
tap,,,2018-05-31 12:06:19,2018-05-31 12:06:20,1.629s,PASSED
tap,,,2018-05-31 12:06:20,2018-05-31 12:06:37,16.885s,PASSED
tap,,,2018-05-31 12:06:37,2018-05-31 12:06:44,6.860s,PASSED
setText,,,2018-05-31 12:06:44,2018-05-31 12:06:46,1.660s,PASSED
hideKeyboard,,,2018-05-31 12:06:46,2018-05-31 12:06:49,3.380s,PASSED
tap,,,2018-05-31 12:06:49,2018-05-31 12:06:51,1.902s,PASSED
setText,,,2018-05-31 12:06:51,2018-05-31 12:06:53,1.870s,PASSED
hideKeyboard,,,2018-05-31 12:06:53,2018-05-31 12:06:54,1.110s,PASSED
tap,,,2018-05-31 12:06:54,2018-05-31 12:06:55,0.741s,PASSED
verifyElementAttributeValue,,,2018-05-31 12:06:55,2018-05-31 12:06:55,0.795s,PASSED
closeApplication,,,2018-05-31 12:06:55,2018-05-31 12:07:00,4.203s,PASSED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation_Fail,,,2018-05-31 12:07:00,2018-05-31 12:09:28,2m - 27.866s,FAILED
startApplication,,,2018-05-31 12:07:00,2018-05-31 12:08:31,1m - 30.683s,PASSED
tap,,,2018-05-31 12:08:31,2018-05-31 12:08:37,6.195s,PASSED
delay,,,2018-05-31 12:08:37,2018-05-31 12:08:42,5.003s,PASSED
tap,,,2018-05-31 12:08:42,2018-05-31 12:08:44,1.905s,PASSED
delay,,,2018-05-31 12:08:44,2018-05-31 12:08:49,5.003s,PASSED
tap,,,2018-05-31 12:08:49,2018-05-31 12:08:50,1.247s,PASSED
tap,,,2018-05-31 12:08:50,2018-05-31 12:09:08,18.005s,PASSED
tap,,,2018-05-31 12:09:08,2018-05-31 12:09:13,5.107s,PASSED
setText,,,2018-05-31 12:09:13,2018-05-31 12:09:15,1.532s,PASSED
hideKeyboard,,,2018-05-31 12:09:15,2018-05-31 12:09:16,1.157s,PASSED
tap,,,2018-05-31 12:09:16,2018-05-31 12:09:18,1.787s,PASSED
setText,,,2018-05-31 12:09:18,2018-05-31 12:09:19,1.355s,PASSED
hideKeyboard,,,2018-05-31 12:09:19,2018-05-31 12:09:20,1.006s,PASSED
tap,,,2018-05-31 12:09:20,2018-05-31 12:09:21,0.713s,PASSED
verifyElementAttributeValue,,,2018-05-31 12:09:21,2018-05-31 12:09:28,6.847s,FAILED
