Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DigiBankSG_Login,,,2018-05-25 17:55:31,2018-05-25 17:59:07,3m - 35.977s,FAILED
,,,,,,
Test Cases/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-05-25 17:55:31,2018-05-25 17:57:16,1m - 44.734s,PASSED
startApplication,,,2018-05-25 17:55:32,2018-05-25 17:56:15,43.126s,PASSED
tap,,,2018-05-25 17:56:15,2018-05-25 17:56:24,8.886s,PASSED
delay,,,2018-05-25 17:56:24,2018-05-25 17:56:29,5.031s,PASSED
tap,,,2018-05-25 17:56:29,2018-05-25 17:56:30,1.494s,PASSED
delay,,,2018-05-25 17:56:30,2018-05-25 17:56:35,5.002s,PASSED
tap,,,2018-05-25 17:56:35,2018-05-25 17:56:36,1.075s,PASSED
tap,,,2018-05-25 17:56:36,2018-05-25 17:56:56,19.308s,PASSED
tap,,,2018-05-25 17:56:56,2018-05-25 17:57:04,8.010s,PASSED
setText,,,2018-05-25 17:57:04,2018-05-25 17:57:05,1.605s,PASSED
hideKeyboard,,,2018-05-25 17:57:05,2018-05-25 17:57:06,0.955s,PASSED
tap,,,2018-05-25 17:57:06,2018-05-25 17:57:08,1.975s,PASSED
setText,,,2018-05-25 17:57:08,2018-05-25 17:57:10,1.429s,PASSED
hideKeyboard,,,2018-05-25 17:57:10,2018-05-25 17:57:11,1.131s,PASSED
tap,,,2018-05-25 17:57:11,2018-05-25 17:57:12,0.806s,PASSED
verifyElementAttributeValue,,,2018-05-25 17:57:12,2018-05-25 17:57:12,0.829s,PASSED
closeApplication,,,2018-05-25 17:57:12,2018-05-25 17:57:16,3.597s,PASSED
,,,,,,
Test Cases/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation_Fail,,,2018-05-25 17:57:16,2018-05-25 17:59:04,1m - 47.626s,FAILED
startApplication,,,2018-05-25 17:57:17,2018-05-25 17:58:02,45.036s,PASSED
tap,,,2018-05-25 17:58:02,2018-05-25 17:58:11,9.303s,PASSED
delay,,,2018-05-25 17:58:11,2018-05-25 17:58:16,5.004s,PASSED
tap,,,2018-05-25 17:58:16,2018-05-25 17:58:18,1.629s,PASSED
delay,,,2018-05-25 17:58:18,2018-05-25 17:58:23,5.003s,PASSED
tap,,,2018-05-25 17:58:23,2018-05-25 17:58:24,1.109s,PASSED
tap,,,2018-05-25 17:58:24,2018-05-25 17:58:46,22.335s,PASSED
tap,,,2018-05-25 17:58:46,2018-05-25 17:58:52,6.355s,PASSED
setText,,,2018-05-25 17:58:52,2018-05-25 17:58:54,1.591s,PASSED
hideKeyboard,,,2018-05-25 17:58:54,2018-05-25 17:58:55,1.194s,PASSED
tap,,,2018-05-25 17:58:55,2018-05-25 17:58:57,1.791s,PASSED
setText,,,2018-05-25 17:58:57,2018-05-25 17:58:58,1.435s,PASSED
hideKeyboard,,,2018-05-25 17:58:58,2018-05-25 17:58:59,1.001s,PASSED
tap,,,2018-05-25 17:58:59,2018-05-25 17:59:00,0.803s,PASSED
verifyElementAttributeValue,,,2018-05-25 17:59:00,2018-05-25 17:59:04,3.492s,FAILED
