Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Login,,,2018-05-31 13:59:01,2018-05-31 14:00:57,1m - 56.021s,PASSED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-05-31 13:59:01,2018-05-31 14:00:57,1m - 55.507s,PASSED
comment,,,2018-05-31 13:59:02,2018-05-31 13:59:02,0.079s,PASSED
startApplication,,,2018-05-31 13:59:02,2018-05-31 13:59:56,54.316s,PASSED
tap,,,2018-05-31 13:59:56,2018-05-31 14:00:05,9.035s,PASSED
delay,,,2018-05-31 14:00:05,2018-05-31 14:00:10,5.021s,PASSED
tap,,,2018-05-31 14:00:10,2018-05-31 14:00:12,1.558s,PASSED
delay,,,2018-05-31 14:00:12,2018-05-31 14:00:17,5.003s,PASSED
tap,,,2018-05-31 14:00:17,2018-05-31 14:00:18,1.346s,PASSED
comment,,,2018-05-31 14:00:18,2018-05-31 14:00:18,0.003s,PASSED
tap,,,2018-05-31 14:00:18,2018-05-31 14:00:40,21.482s,PASSED
comment,,,2018-05-31 14:00:40,2018-05-31 14:00:40,0.001s,PASSED
comment,,,2018-05-31 14:00:40,2018-05-31 14:00:40,0.005s,PASSED
comment,,,2018-05-31 14:00:40,2018-05-31 14:00:40,0.002s,PASSED
tap,,,2018-05-31 14:00:40,2018-05-31 14:00:44,4.753s,PASSED
setText,,,2018-05-31 14:00:44,2018-05-31 14:00:46,1.587s,PASSED
hideKeyboard,,,2018-05-31 14:00:46,2018-05-31 14:00:47,1.068s,PASSED
tap,,,2018-05-31 14:00:47,2018-05-31 14:00:49,1.910s,PASSED
setText,,,2018-05-31 14:00:49,2018-05-31 14:00:51,1.518s,PASSED
hideKeyboard,,,2018-05-31 14:00:51,2018-05-31 14:00:52,0.985s,PASSED
tap,,,2018-05-31 14:00:52,2018-05-31 14:00:52,0.701s,PASSED
comment,,,2018-05-31 14:00:52,2018-05-31 14:00:52,0.001s,PASSED
verifyElementAttributeValue,,,2018-05-31 14:00:52,2018-05-31 14:00:53,0.838s,PASSED
closeApplication,,,2018-05-31 14:00:53,2018-05-31 14:00:57,3.769s,PASSED
