Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DigiBankSG_Login,,,2018-06-01 10:52:06,2018-06-01 10:54:41,2m - 34.129s,FAILED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-06-01 10:52:07,2018-06-01 10:52:41,33.485s,FAILED
startApplication,,,2018-06-01 10:52:08,2018-06-01 10:52:41,32.934s,FAILED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation_Fail,,,2018-06-01 10:52:41,2018-06-01 10:54:37,1m - 56.330s,FAILED
startApplication,,,2018-06-01 10:52:41,2018-06-01 10:53:48,1m - 7.084s,PASSED
tap,,,2018-06-01 10:53:48,2018-06-01 10:53:54,5.801s,PASSED
delay,,,2018-06-01 10:53:54,2018-06-01 10:53:59,5.026s,PASSED
tap,,,2018-06-01 10:53:59,2018-06-01 10:54:01,1.547s,PASSED
delay,,,2018-06-01 10:54:01,2018-06-01 10:54:06,5.003s,PASSED
tap,,,2018-06-01 10:54:06,2018-06-01 10:54:07,1.122s,PASSED
tap,,,2018-06-01 10:54:07,2018-06-01 10:54:23,15.824s,PASSED
tap,,,2018-06-01 10:54:23,2018-06-01 10:54:25,2.569s,PASSED
setText,,,2018-06-01 10:54:25,2018-06-01 10:54:27,1.559s,PASSED
hideKeyboard,,,2018-06-01 10:54:27,2018-06-01 10:54:29,2.429s,PASSED
tap,,,2018-06-01 10:54:29,2018-06-01 10:54:31,1.958s,PASSED
setText,,,2018-06-01 10:54:31,2018-06-01 10:54:32,1.424s,PASSED
hideKeyboard,,,2018-06-01 10:54:32,2018-06-01 10:54:33,0.832s,PASSED
tap,,,2018-06-01 10:54:33,2018-06-01 10:54:34,0.712s,PASSED
verifyElementAttributeValue,,,2018-06-01 10:54:34,2018-06-01 10:54:37,3.238s,FAILED
